Name?,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Chad Harville\harvich01,24,us,R,R,5' 9",180,Sep 16 1976,2,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$204000,
Ramon Hernandez\hernara02,25,ve,R,R,6' 0",220,May 20 1976,3,136,127,136,136,0,135,2,0,0,0,0,0,0,0,0,3,1,2.3,$245000,
Erik Hiljus\hiljuer01,28,us,R,R,6' 5",230,Dec 25 1972,3,16,11,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,
Tim Hudson\hudsoti01,25,us,R,R,6' 1",175,Jul 14 1975,3,36,35,4,35,35,0,0,0,0,0,0,0,0,0,0,0,1,4.4,$525000,
John Jaha\jahajo01,35,us,R,R,6' 1",195,May 27 1966,10,12,12,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,-0.7,$3250000,
Robin Jennings\jenniro01,29,sg,L,L,6' 2",205,Apr 11 1972,4,20,13,20,17,0,0,6,0,0,0,3,0,12,15,2,6,0,-0.4,$290000,
Cory Lidle\lidleco01,29,us,R,R,5' 11",175,Mar 22 1972,4,29,29,1,29,29,0,0,0,0,0,0,0,0,0,0,0,0,3.4,,
Terrence Long\longte01,25,us,L,L,6' 1",190,Feb 29 1976,3,162,158,162,162,0,0,0,0,0,0,62,74,28,164,0,3,0,2.0,$240750,
Mike Magnante\magnami01,36,us,L,L,6' 1",180,Jun 17 1965,11,65,0,3,65,65,0,0,0,0,0,0,0,0,0,0,0,0,1.1,$900000,
T.J. Mathews\mathet.01,31,us,R,R,6' 2",200,Jan 9 1970,7,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$1900000,
Jim Mecir\mecirji01,31,us,B,R,6' 1",195,May 16 1970,7,54,0,3,54,54,0,0,0,0,0,0,0,0,0,0,0,0,1.2,$1116667,
Frank Menechino\menecfr01,30,us,R,R,5' 9",175,Jan 7 1971,3,139,128,139,137,0,0,0,136,1,3,0,0,0,0,1,2,1,3.3,$225000,
Mark Mulder\muldema01,23,us,L,L,6' 6",200,Aug 5 1977,2,34,34,2,34,34,0,0,0,0,0,0,0,0,0,0,0,0,5.6,$232500,
Jose Ortiz\ortizjo04,24,do,R,R,5' 9",177,Jun 13 1977,2,11,11,11,10,0,0,0,10,0,0,0,0,0,0,1,0,0,-0.7,$201000,
Adam Piatt\piattad01,25,us,R,R,6' 2",195,Feb 8 1976,2,36,27,36,32,0,0,0,0,0,0,0,0,32,32,1,6,0,-0.6,$217500,
Rob Ryan\ryanro02,28,us,L,L,5' 11",190,Jun 24 1973,3,7,0,7,5,0,0,0,0,0,0,0,4,1,5,1,5,0,-0.2,,
Olmedo Saenz\saenzol01,30,pa,R,R,6' 2",185,Oct 8 1970,4,106,72,106,41,0,0,28,0,14,0,0,0,0,0,58,26,0,0.0,$290000,
Jeff Tam\tamje01,30,us,R,R,6' 1",202,Aug 19 1970,4,70,0,3,70,70,0,0,0,0,0,0,0,0,0,0,0,0,1.9,$350000,
Miguel Tejada\tejadmi01,27,do,R,R,5' 9",220,May 25 1974,5,162,160,162,162,0,0,0,0,0,162,0,0,0,0,0,0,0,4.2,$2025000,
Mario Valdez\valdema02,26,mx,L,L,6' 1",215,Nov 19 1974,3,32,11,32,13,0,0,6,0,0,0,7,0,0,7,12,15,1,0.2,$205000,
Luis Vizcaino\vizcalu01,26,do,R,R,6' 1",170,Aug 6 1974,3,36,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Tom Wilson\wilsoto02,30,us,R,R,6' 3",220,Dec 19 1970,1st,9,6,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Barry Zito\zitoba01,23,us,L,L,6' 2",205,May 13 1978,2,35,35,2,35,35,0,0,0,0,0,0,0,0,0,0,0,0,4.4,$240000,
